,,United Arab Emiratess exports to Egypt,,,Egypt's imports from world,,,,United Arab Emiratess exports to world,,,
Product code,Product label,Value in 2020,Value in 2021,Value in 2022,,Value in 2020,Value in 2021,Value in 2022,,Value in 2020,Value in 2021,Value in 2022
30443,"Fresh or chilled fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae ...",0,0,,,113,0,0,,0,0,
30455,"Fresh or chilled meat, whether or not minced, of toothfish ""Dissostichus spp."" (excl. fillets)",0,0,,,,,,,0,2,
30457,"Fresh or chilled meat, whether or not minced, of rays and skates ""Rajidae"" (excl. fillets)",0,0,,,,,,,0,0,
151521,Crude maize oil,0,0,,,19900,18282,16541,,4545,618,48
151530,"Castor oil and fractions thereof, whether or not refined, but not chemically modified",1,3,,,4072,3508,8033,,2079,1943,67
151790,Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...,0,32,,,5688,8700,9966,,1851,3725,19762
152190,"Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",4,0,,,242,29,56,,178,200,5
160100,"Sausages and similar products, of meat, meat offal, blood or insects; food preparations based ...",0,0,,,2,23,97,,6245,15587,5081
160241,"Hams of swine and cuts thereof, prepared or preserved",0,0,,,,,,,161,210,120
160510,"Crab, prepared or preserved (excl. smoked)",0,0,,,61,34,0,,210,172,33
160520,"Shrimps and prawns, prepared or preserved",0,0,,,,,,,0,0,1
170290,"Sugars in solid form, incl. invert sugar and chemically pure maltose, and sugar and sugar syrup ...",116,86,,,11177,10502,9060,,14489,19485,3015
170390,Beet molasses resulting from the extraction or refining of sugar,0,0,,,0,4,0,,200,469,43
170410,"Chewing gum, whether or not sugar-coated",270,242,,,951,466,620,,57715,49060,504
180690,"Chocolate and other preparations containing cocoa, in containers or immediate packings of <= ...",1212,1840,,,15459,20451,18612,,133007,86589,23414
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",59,1837,,,72200,70174,108962,,171958,141970,14691
71239,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ...",0,0,,,15,16,0,,88,370,18
71320,"Dried, shelled chickpeas ""garbanzos"", whether or not skinned or split",28,6,,,15897,21853,28932,,43476,51548,6100
71332,"Dried, shelled small red ""Adzuki"" beans ""Phaseolus or Vigna angularis"", whether or not skinned ...",0,0,,,30,0,70,,164,138,90
71335,"Dried, shelled cow peas ""Vigna unguiculata"", whether or not skinned or split",0,0,,,0,0,0,,1477,504,973
71340,"Dried, shelled lentils, whether or not skinned or split",716,164,,,72298,101259,112179,,184079,239590,29705
80131,"Fresh or dried cashew nuts, in shell",0,0,,,576,331,0,,2938,759,47014
80212,"Fresh or dried almonds, shelled",76,298,,,24023,22898,25348,,200282,226386,5217
80292,"Fresh or dried pine nuts, shelled",0,0,,,0,0,134,,0,0,105
80410,Fresh or dried dates,419,413,,,5179,18624,21337,,228768,272015,205470
80440,Fresh or dried avocados,0,2,,,4341,7671,9459,,7933,10638,148
80620,Dried grapes,140,340,,,2738,6850,3756,,29685,42798,4951
80921,"Fresh sour cherries ""Prunus cerasus""",0,0,,,860,996,2929,,90,0,7
81110,"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened",0,0,,,357,91,368,,36,91,4
81290,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",0,0,,,0,0,0,,82,113,40
81350,Mixtures of nuts or dried fruits,0,48,,,0,0,0,,2224,2142,571
90121,Roasted coffee (excl. decaffeinated),1515,2921,,,13063,18735,13105,,26545,30848,6384
90240,"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings ...",1296,709,,,180771,200672,254955,,50887,64257,5365
90412,"Pepper of the genus Piper, crushed or ground",20,9,,,269,1055,1277,,3836,6969,522
90811,"Nutmeg, neither crushed nor ground",1049,1733,,,3282,4669,4199,,8439,10708,41
90822,"Mace, crushed or ground",0,0,,,,,,,0,0,
90831,"Cardamoms, neither crushed nor ground",3490,5859,,,38877,39222,32091,,131977,113825,1981
90961,"Juniper berries and seeds of anise, badian, caraway or fennel, neither crushed nor ground",183,90,,,1698,1867,651,,2633,4157,363
91099,"Spices (excl. pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, ...",6,28,,,6070,3930,3761,,24774,23997,3114
100111,Durum wheat seed for sowing,0,0,,,1,0,0,,31,73,
100620,Husked or brown rice,0,0,,,65,125,1,,629,646,745
110813,Potato starch,0,9,,,3613,3180,4224,,1558,1915,7
110820,Inulin,0,0,,,13,2,106,,7,0,214
120230,"Groundnut seed, for sowing",0,0,,,0,8,0,,728,347,1
120730,Castor oil seeds,0,0,,,,,,,27,32,
120760,"Safflower ""Carthamus tinctorius"" seeds",0,0,,,0,0,54,,166,213,
121300,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ...",0,0,,,60,33,29,,254,961,2
130190,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins (excl. gum Arabic)",420,318,,,2956,3365,3308,,7950,10306,2419
130211,Opium,0,0,,,,,,,0,0,
130213,Extracts of hops,0,0,,,48,108,213,,0,30,
150710,"Crude soya-bean oil, whether or not degummed",0,0,,,27228,53132,80964,,0,12,7510
291611,Acrylic acid and its salts,0,0,,,3738,6072,9141,,374,668,381
291816,"Gluconic acid, its salts and esters",0,2,,,1658,1532,2910,,257,442,33
230330,Brewing or distilling dregs and waste,0,0,,,0,428,389,,2,0,
230641,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",0,0,,,,,,,163896,215346,203406
240399,"Chewing tobacco, snuff and other manufactured tobacco and manufactured tobacco substitutes, ...",951,452,,,72794,35694,50498,,27373,25117,6420
240419,"Products containing tobacco or nicotine substitutes, intended for inhalation without combustion ...",0,0,,,,,,,0,0,22
250200,Unroasted iron pyrites,0,0,,,42,71,148,,0,317,11
250700,"Kaolin and other kaolinic clays, whether or not calcined",11,16,,,35440,31513,49375,,856,731,1170
251010,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...",0,0,,,42,0,0,,0,1,12
251020,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic ...",0,0,,,0,0,0,,25,1,65548
251611,"Granite, crude or roughly trimmed (excl. already with the characteristics of setts, curbstones ...",0,0,,,682,818,2919,,53,31,952
251749,"Granules, chippings and powder, whether or not heat-treated, of travertine, ecaussine, alabaster, ...",0,0,,,1324,1380,1790,,41,53,5327
252620,"Natural steatite and talc, crushed or powdered",0,2,,,2513,2798,2333,,293,239,215
252921,Fluorspar containing by weight <= 97% calcium fluoride,22,0,,,2619,5088,4878,,22,7,123
252930,"Leucite, nepheline and nepheline syenite",0,0,,,24,3,2,,16,13,27
253010,"Vermiculite, perlite and chlorites, unexpanded",0,0,,,1001,1014,907,,1094,712,252
253020,"Kieserite and epsomite ""natural magnesium sulphates""",0,0,,,16,6,41,,0,0,
260300,Copper ores and concentrates,0,0,,,,,,,349,2924,143457
260800,Zinc ores and concentrates,0,0,,,22,58,7,,397,806,694
262011,Hard zinc spelter,0,0,,,0,0,0,,5007,4641,6592
262030,"Slag, ash and residues containing mainly copper",0,0,,,0,0,0,,2578,4352,2797
262040,"Slag, as and residues containing mainly aluminium",0,161,,,,,,,90,321,148
262060,"Slag, ash and residues, containing arsenic, mercury, thallium or their mixtures, of a kind ...",0,0,,,,,,,0,219,
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",0,0,,,41729,172703,355113,,27,71,35021
270820,Pitch coke obtained from coal tar or from other mineral tars,0,0,,,0,7784,26848,,684,185,436
271311,"Petroleum coke, non-calcined",0,0,,,50863,18014,149772,,7071,25320,136244
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail ...",0,0,,,,,,,0,39000,1168
190510,Crispbread,0,0,,,85,62,41,,831,575,25
200390,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid (excl. ...",0,0,,,592,384,118,,226,524,66
200591,"Bamboo shoots, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)",0,0,,,,,,,19,37,12
200710,"Homogenised preparations of jams, jellies, marmalades, fruit or nut purées and nut pastes, ...",0,0,,,832,2430,1766,,449,298,253
200939,"Single citrus fruit juice, unfermented, Brix value > 20 at 20°C, whether or not containing ...",0,0,,,46,52,316,,2263,4425,977
200981,"Cranberry or lingonberry ""Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea"" ...",1,0,,,15,238,619,,242,547,245
210220,Inactive yeasts; other dead single-cell micro-organisms (excl. packaged as medicaments),0,0,,,1361,1230,2088,,464,685,92
210410,Soups and broths and preparations therefor,172,560,,,123,696,442,,91381,97695,7650
210690,"Food preparations, n.e.s.",1886,2936,,,204545,221125,202847,,286412,257751,24339
280110,Chlorine,0,0,,,1,133,0,,245,62,7
280200,"Sulphur, sublimed or precipitated; colloidal sulphur",0,0,,,820,103,67,,2,0,1450
280410,Hydrogen,12,12,,,49,44,18,,606,660,1759
280429,Rare gases (excl. argon),442,250,,,3236,1540,4046,,28152,32858,22085
280440,Oxygen,14,42,,,26,208,3,,2150,5151,1231
280461,"Silicon containing >= 99,99% by weight of silicon",0,0,,,474,49,1,,10,59,1
280700,Sulphuric acid; oleum,0,0,,,3,0,26,,1141,1384,2925
280920,"Phosphoric acid; polyphosphoric acids, whether or not chemically defined",111,125,,,8779,4813,15162,,526,431,6059
281610,Hydroxide and peroxide of magnesium,0,0,,,575,840,767,,1795,1862,
