Product Code,Product Label,"UAE export to mexico Value in 2022, USD thousands","Mexico Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,UAE to mexico Quantity exported in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"mexico import from world Value in 2022, USD thousand ","Annual growthmexico import from world in value between 2018-2022, %, p.a. ","Share in world imports mexico to world, % ",Quantity exported from mexico to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"UAE Export to world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported from uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
30299,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, . . .", , , , , , ,38,0, ,0, ,Tons, ,1,-48,0,4,Tons,"1,750",
30312,"Frozen Pacific salmon (excl. sockeye salmon ""red salmon"")", , , , , , ,,0, ,0, , , ,163,7,0,0, , ,
30313,"Frozen, Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""", , ,15, , , ,19,"1,250",89,0,168, ,"7,440",274,52,0,"2,758", ,"7,992",-
30319,"Frozen salmonidae (excl. trout and Pacific, Atlantic and Danube salmon)", , , , , , ,,0, ,0, , , ,778,-8,1,64, ,"5,391",
30323,"Frozen tilapia ""Oreochromis spp.""", , ,15, , , ,19,"19,275",24,5,"9,131", ,"2,111",316,272,0,"2,307", ,"1,206",
30324,"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""", , ,15, , , ,19,"3,018",22,1,"1,351", ,"2,234",2, ,0,"1,030", ,"1,561",
30329,"Frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.)", , ,15, , , ,17,0, ,0, ,Tons, ,10,-45,0,62,Tons,"3,161",
30331,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus . . .", , , , , , ,,0, ,0, , , ,8, ,0,0, , ,
30333,"Frozen sole ""Solea spp.""", , , , , , ,,0, ,0, , , ,80, ,0,7, ,"6,000",
30339,"Frozen flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"" . . .", , , , , , ,,0, ,0, , , ,1,69,0,386, ,"2,119",
30341,"Frozen albacore or longfinned tunas ""Thunnus alalunga""", , , , , , ,,0, ,0, , , ,16,21,0, , , ,
30342,"Frozen yellowfin tunas ""Thunnus albacares""", , , , , , ,,0, ,0, , , ,90,33,0,1, ,"22,000",9
30343,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis""", , , , , , ,,0, ,0, , , ,13, ,0,313, ,"1,300",12
30349,"Frozen tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, . . .", , , , , , ,,0, ,0, , , ,42,-40,0,446, ,"2,726",
30351,"Frozen herrings ""Clupea harengus, Clupea pallasii""", , ,15, , , ,17,65,-24,0,27, ,"2,407",51,-47,0,47, ,"1,255",
